state,slug,code,nickname,website,admission_date,admission_number,capital_city,capital_url,population,population_rank,constitution_url,state_flag_url,state_seal_url,map_image_url,landscape_background_url,skyline_background_url,twitter_url,facebook_url
Pomurska,,SI011,,,,,,,,,,,,,,,,
Podravska,,SI012,,,,,,,,,,,,,,,,
Koroška,,SI013,,,,,,,,,,,,,,,,
Savinjska,,SI014,,,,,,,,,,,,,,,,
Zasavska,,SI015,,,,,,,,,,,,,,,,
Posavska,,SI016,,,,,,,,,,,,,,,,
Jugovzhodna Slovenija,,SI017,,,,,,,,,,,,,,,,
Primorsko-notranjska,,SI018,,,,,,,,,,,,,,,,
Osrednjeslovenska,,SI021,,,,,,,,,,,,,,,,
Gorenjska,,SI022,,,,,,,,,,,,,,,,
Goriska,,SI023,,,,,,,,,,,,,,,,
Obalno-kraška,,SI024,,,,,,,,,,,,,,,,